"","subj","trialNo","stimNo","focNo","verbNo","con","foc","verb","quesCode.art.1","quesCode.art.2","quesCode.noun.1","quesCode.noun.2","resp.art","resp.noun","respCode.art","respCode.noun","TMS","sess.no","RT","accur","decision","accur.code"
"35","1",35,49,1,49,"syntax","subject","49",1,1,1,2,"nom","Agent",2,1,"sham",3,618.5,"correct","article",1
"36","1",36,13,2,12,"syntax","object","12",1,1,1,1,"acc","Patient",1,1,"sham",3,669.8,"correct","article",1
"38","1",38,11,1,11,"syntax","subject","11",1,2,1,2,"nom","Agent",1,1,"sham",3,1043.8,"correct","article",1
"39","1",39,45,2,44,"syntax","object","44",1,1,1,1,"acc","Patient",1,1,"sham",3,565.5,"correct","article",1
"41","1",41,53,2,52,"syntax","object","52",1,2,1,2,"acc","Patient",2,2,"sham",3,914.2,"correct","article",1
"43","1",43,48,1,48,"syntax","subject","48",1,1,1,1,"nom","Agent",2,2,"sham",3,588.6,"correct","article",1
"45","1",45,44,2,43,"syntax","object","43",1,2,1,2,"acc","Patient",2,2,"sham",3,537.2,"correct","article",1
"47","1",47,23,1,23,"syntax","subject","23",1,1,1,2,"nom","Agent",2,1,"sham",3,651.5,"correct","article",1
"49","1",49,51,2,50,"syntax","object","50",1,2,1,1,"acc","Agent",2,2,"sham",3,574.5,"correct","article",1
"51","1",51,35,2,34,"syntax","object","34",1,2,1,2,"acc","Patient",2,2,"sham",3,697.7,"correct","article",1
"54","1",54,22,2,21,"syntax","object","21",1,2,1,2,"acc","Patient",2,2,"sham",3,491.6,"correct","article",1
"57","1",57,1,1,1,"syntax","subject","1",1,1,1,1,"nom","Agent",2,2,"sham",3,1439.7,"correct","article",1
"59","1",59,39,2,38,"syntax","object","38",1,2,1,1,"acc","Patient",2,1,"sham",3,598.9,"correct","article",1
"61","1",61,47,1,47,"syntax","subject","47",1,2,1,2,"nom","Agent",1,1,"sham",3,973.4,"correct","article",1
"62","1",62,14,2,13,"syntax","object","13",1,1,1,2,"acc","Patient",1,2,"sham",3,642.4,"correct","article",1
"64","1",64,19,1,19,"syntax","subject","19",1,1,1,2,"nom","Agent",2,1,"sham",3,836.8,"correct","article",1
"66","1",66,10,2,9,"syntax","object","9",1,1,1,2,"acc","Patient",1,2,"sham",3,924.2,"correct","article",1
"67","1",67,7,1,7,"syntax","subject","7",1,2,1,2,"nom","Agent",1,1,"sham",3,808.4,"correct","article",1
"69","1",69,60,1,60,"syntax","subject","60",1,2,1,2,"nom","Agent",1,1,"sham",3,837.8,"correct","article",1
"70","1",70,16,2,15,"syntax","object","15",1,2,1,2,"acc","Patient",2,2,"sham",3,982.4,"correct","article",1
"73","1",73,24,2,23,"syntax","object","23",1,1,1,2,"acc","Agent",1,1,"sham",3,544.9,"correct","article",1
"74","1",74,24,1,24,"syntax","subject","24",1,2,1,1,"nom","Agent",1,2,"sham",3,640.2,"correct","article",1
"76","1",76,17,2,16,"syntax","object","16",1,1,1,1,"acc","Patient",1,1,"sham",3,652.6,"correct","article",1
"79","1",79,38,2,37,"syntax","object","37",1,1,1,2,"acc","Patient",1,2,"sham",3,683,"correct","article",1
"81","1",81,44,1,44,"syntax","subject","44",1,1,1,1,"nom","Agent",2,2,"sham",3,1449.5,"correct","article",1
"83","1",83,21,2,20,"syntax","object","20",1,2,1,1,"acc","Patient",2,1,"sham",3,680.9,"correct","article",1
"86","1",86,4,2,3,"syntax","object","3",1,2,1,1,"acc","Patient",2,1,"sham",3,899.2,"correct","article",1
"87","1",87,25,1,25,"syntax","subject","25",1,2,1,2,"nom","Agent",1,1,"sham",3,1339.9,"correct","article",1
"90","1",90,17,1,17,"syntax","subject","17",1,1,1,2,"nom","Agent",2,1,"sham",3,690,"correct","article",1
"92","1",92,18,1,18,"syntax","subject","18",1,2,1,1,"nom","Agent",1,2,"sham",3,1334.6,"correct","article",1
"94","1",94,3,2,2,"syntax","object","2",1,1,1,2,"acc","Patient",1,2,"sham",3,780.6,"correct","article",1
"96","1",96,22,1,22,"syntax","subject","22",1,1,1,1,"nom","Agent",2,2,"sham",3,773.2,"correct","article",1
"97","1",97,32,2,31,"syntax","object","31",1,2,1,2,"acc","Patient",2,2,"sham",3,713.6,"correct","article",1
"99","1",99,64,2,63,"syntax","object","63",1,2,1,2,"acc","Patient",2,2,"sham",3,712.5,"correct","article",1
"100","1",100,32,1,32,"syntax","subject","32",1,1,1,1,"nom","Agent",2,2,"sham",3,546.5,"correct","article",1
"103","1",103,66,1,66,"syntax","subject","66",1,1,1,2,"nom","Agent",2,1,"sham",3,840.6,"correct","article",1
"106","1",106,35,1,35,"syntax","subject","35",1,1,1,1,"nom","Agent",2,2,"sham",3,983.9,"correct","article",1
"109","1",109,15,2,14,"syntax","object","14",1,2,1,1,"acc","Patient",2,1,"sham",3,577.3,"correct","article",1
"111","1",111,28,1,28,"syntax","subject","28",1,2,1,1,"nom","Agent",1,2,"sham",3,777.3,"correct","article",1
"112","1",112,12,2,11,"syntax","object","11",1,2,1,2,"acc","Patient",2,2,"sham",3,759.9,"correct","article",1
"114","1",114,67,1,67,"syntax","subject","67",1,2,1,1,"nom","Agent",1,2,"sham",3,1046.6,"correct","article",1
"117","1",117,18,2,17,"syntax","object","17",1,1,1,2,"acc","Patient",1,2,"sham",3,869,"correct","article",1
"119","1",119,20,2,19,"syntax","object","19",1,1,1,2,"acc","Patient",1,2,"sham",3,999,"correct","article",1
"121","1",121,6,2,5,"syntax","object","5",1,1,1,2,"acc","Patient",1,2,"sham",3,903.3,"correct","article",1
"124","1",124,50,2,49,"syntax","object","49",1,1,1,2,"acc","Patient",1,2,"sham",3,637.5,"correct","article",1
"126","1",126,46,1,46,"syntax","subject","46",1,2,1,1,"nom","Agent",1,2,"sham",3,655,"correct","article",1
"129","1",129,27,1,27,"syntax","subject","27",1,1,1,2,"nom","Agent",2,1,"sham",3,947.6,"correct","article",1
"131","1",131,16,1,16,"syntax","subject","16",1,1,1,1,"nom","Agent",2,2,"sham",3,623.3,"correct","article",1
"132","1",132,11,2,10,"syntax","object","10",1,2,1,1,"acc","Patient",2,1,"sham",3,563.5,"correct","article",1
"134","1",134,5,2,4,"syntax","object","4",1,1,1,1,"acc","Patient",1,1,"sham",3,1191.8,"correct","article",1
"135","1",135,52,1,52,"syntax","subject","52",1,2,1,2,"nom","Agent",1,1,"sham",3,1032.5,"correct","article",1
"137","1",137,23,2,22,"syntax","object","22",1,1,1,1,"acc","Patient",1,1,"sham",3,1057.2,"correct","article",1
"138","1",138,43,1,43,"syntax","subject","43",1,2,1,2,"nom","Agent",1,1,"sham",3,869.4,"correct","article",1
"140","1",140,61,1,61,"syntax","subject","61",1,2,1,1,"nom","Agent",1,2,"sham",3,813.4,"correct","article",1
"142","1",142,26,1,26,"syntax","subject","26",1,1,1,1,"nom","Agent",2,2,"sham",3,817.6,"correct","article",1
"145","1",145,65,2,64,"syntax","object","64",1,1,1,1,"acc","Patient",1,1,"sham",3,581,"correct","article",1
"147","1",147,34,1,34,"syntax","subject","34",1,2,1,2,"nom","Agent",1,1,"sham",3,573.7,"correct","article",1
"148","1",148,68,2,67,"syntax","object","67",1,2,1,1,"acc","Patient",2,1,"sham",3,659,"correct","article",1
"151","1",151,61,2,60,"syntax","object","60",1,2,1,2,"acc","Patient",2,2,"sham",3,722.7,"correct","article",1
"153","1",153,4,1,4,"syntax","subject","4",1,1,1,1,"nom","Agent",2,2,"sham",3,768.6,"correct","article",1
"156","1",156,20,1,20,"syntax","subject","20",1,2,1,1,"nom","Agent",1,2,"sham",3,711.6,"correct","article",1
"157","1",157,25,2,24,"syntax","object","24",1,2,1,1,"acc","Patient",2,1,"sham",3,580.3,"correct","article",1
"159","1",159,29,2,28,"syntax","object","28",1,2,1,1,"acc","Patient",2,1,"sham",3,744,"correct","article",1
"160","1",160,45,1,45,"syntax","subject","45",1,1,1,2,"nom","Agent",2,1,"sham",3,609.2,"correct","article",1
"162","1",162,49,2,48,"syntax","object","48",1,1,1,1,"acc","Patient",1,1,"sham",3,744.1,"correct","article",1
"163","1",163,15,1,15,"syntax","subject","15",1,2,1,2,"nom","Agent",1,1,"sham",3,1080.6,"correct","article",1
"165","1",165,26,2,25,"syntax","object","25",1,2,1,2,"acc","Agent",2,1,"sham",3,709.2,"correct","article",1
"168","1",168,14,1,14,"syntax","subject","14",1,2,1,1,"nom","Agent",1,2,"sham",3,615.7,"correct","article",1
"170","1",170,62,2,61,"syntax","object","61",1,2,1,1,"acc","Patient",2,1,"sham",3,725.4,"correct","article",1
"171","1",171,2,1,2,"syntax","subject","2",1,1,1,2,"nom","Agent",2,1,"sham",3,562,"correct","article",1
"173","1",173,33,2,32,"syntax","object","32",1,1,1,1,"acc","Patient",1,1,"sham",3,560,"correct","article",1
"175","1",175,2,2,1,"syntax","object","1",1,1,1,1,"acc","Patient",1,1,"sham",3,603,"correct","article",1
"176","1",176,5,1,5,"syntax","subject","5",1,1,1,2,"nom","Agent",2,1,"sham",3,675.8,"correct","article",1
"178","1",178,37,1,37,"syntax","subject","37",1,1,1,2,"nom","Agent",2,1,"sham",3,733.2,"correct","article",1
"180","1",180,63,1,63,"syntax","subject","63",1,2,1,2,"nom","Agent",1,1,"sham",3,717.7,"correct","article",1
"182","1",182,50,1,50,"syntax","subject","50",1,2,1,1,"nom","Agent",1,2,"sham",3,957.7,"correct","article",1
"184","1",184,8,1,8,"syntax","subject","8",1,1,1,1,"nom","Agent",2,2,"sham",3,988,"correct","article",1
"187","1",187,12,1,12,"syntax","subject","12",1,1,1,1,"nom","Agent",2,2,"sham",3,958.6,"correct","article",1
"188","1",188,36,2,35,"syntax","object","35",1,1,1,1,"acc","Patient",1,1,"sham",3,666.3,"correct","article",1
"190","1",190,13,1,13,"syntax","subject","13",1,1,1,2,"nom","Patient",2,2,"sham",3,762.1,"correct","article",1
"192","1",192,19,2,18,"syntax","object","18",1,2,1,1,"acc","Patient",2,1,"sham",3,958.7,"correct","article",1
"194","1",2,65,2,64,"syntax","object","64",1,1,1,1,"acc","Patient",1,1,"BA44",1,585.4,"correct","article",1
"195","1",3,48,1,48,"syntax","subject","48",1,1,1,1,"nom","Agent",2,2,"BA44",1,977.9,"correct","article",1
"198","1",6,61,2,60,"syntax","object","60",1,2,1,2,"acc","Patient",2,2,"BA44",1,513.7,"correct","article",1
"199","1",7,25,1,25,"syntax","subject","25",1,2,1,2,"acc","Agent",2,1,"BA44",1,1104.6,"incorrect","article",0
"201","1",9,47,1,47,"syntax","subject","47",1,2,1,2,"nom","Agent",1,1,"BA44",1,541.2,"correct","article",1
"202","1",10,16,2,15,"syntax","object","15",1,2,1,2,"acc","Patient",2,2,"BA44",1,682.9,"correct","article",1
"204","1",12,44,1,44,"syntax","subject","44",1,1,1,1,"nom","Agent",2,2,"BA44",1,782.6,"correct","article",1
"205","1",13,32,2,31,"syntax","object","31",1,2,1,2,"acc","Patient",2,2,"BA44",1,979.8,"correct","article",1
"207","1",15,35,1,35,"syntax","subject","35",1,1,1,1,"nom","Agent",2,2,"BA44",1,534.1,"correct","article",1
"209","1",17,67,1,67,"syntax","subject","67",1,2,1,1,"nom","Patient",1,1,"BA44",1,588.9,"correct","article",1
"210","1",18,19,2,18,"syntax","object","18",1,2,1,1,"acc","Patient",2,1,"BA44",1,587.1,"correct","article",1
"212","1",20,62,2,61,"syntax","object","61",1,2,1,1,"acc","Patient",2,1,"BA44",1,469.8,"correct","article",1
"214","1",22,50,1,50,"syntax","subject","50",1,2,1,1,"nom","Agent",1,2,"BA44",1,534.5,"correct","article",1
"216","1",24,24,1,24,"syntax","subject","24",1,2,1,1,"nom","Agent",1,2,"BA44",1,535.9,"correct","article",1
"218","1",26,26,1,26,"syntax","subject","26",1,1,1,1,"nom","Agent",2,2,"BA44",1,901.3,"correct","article",1
"219","1",27,4,2,3,"syntax","object","3",1,2,1,1,"acc","Patient",2,1,"BA44",1,497.6,"correct","article",1
"221","1",29,11,2,10,"syntax","object","10",1,2,1,1,"acc","Patient",2,1,"BA44",1,698.7,"correct","article",1
"224","1",32,14,2,13,"syntax","object","13",1,1,1,2,"acc","Agent",1,1,"BA44",1,611,"correct","article",1
"225","1",33,16,1,16,"syntax","subject","16",1,1,1,1,"nom","Agent",2,2,"BA44",1,485.8,"correct","article",1
"227","1",35,11,1,11,"syntax","subject","11",1,2,1,2,"nom","Agent",1,1,"BA44",1,587.2,"correct","article",1
"228","1",36,28,2,27,"syntax","object","27",1,1,1,2,"acc","Patient",1,2,"BA44",1,1648.2,"correct","article",1
"230","1",38,23,1,23,"syntax","subject","23",1,1,1,2,"nom","Agent",2,1,"BA44",1,555.4,"correct","article",1
"232","1",40,33,2,32,"syntax","object","32",1,1,1,1,"acc","Patient",1,1,"BA44",1,1170.5,"correct","article",1
"235","1",43,44,2,43,"syntax","object","43",1,2,1,2,"acc","Patient",2,2,"BA44",1,512.3,"correct","article",1
"236","1",44,19,1,19,"syntax","subject","19",1,1,1,2,"nom","Agent",2,1,"BA44",1,562,"correct","article",1
"239","1",47,2,1,2,"syntax","subject","2",1,1,1,2,"nom","Agent",2,1,"BA44",1,587.8,"correct","article",1
"240","1",48,22,2,21,"syntax","object","21",1,2,1,2,"acc","Patient",2,2,"BA44",1,803.1,"correct","article",1
"243","1",51,29,2,28,"syntax","object","28",1,2,1,1,"acc","Patient",2,1,"BA44",1,663.6,"correct","article",1
"246","1",54,1,1,1,"syntax","subject","1",1,1,1,1,"nom","Agent",2,2,"BA44",1,634,"correct","article",1
"247","1",55,15,2,14,"syntax","object","14",1,2,1,1,"acc","Agent",2,2,"BA44",1,579.9,"correct","article",1
"250","1",58,49,1,49,"syntax","subject","49",1,1,1,2,"nom","Agent",2,1,"BA44",1,1105.9,"correct","article",1
"253","1",61,27,1,27,"syntax","subject","27",1,1,1,2,"nom","Agent",2,1,"BA44",1,1154.9,"correct","article",1
"254","1",62,9,2,8,"syntax","object","8",1,1,1,1,"acc","Patient",1,1,"BA44",1,587.8,"correct","article",1
"256","1",64,21,1,21,"syntax","subject","21",1,2,1,2,"nom","Agent",1,1,"BA44",1,619.6,"correct","article",1
"257","1",65,45,2,44,"syntax","object","44",1,1,1,1,"acc","Patient",1,1,"BA44",1,1576.5,"correct","article",1
"260","1",68,12,2,11,"syntax","object","11",1,2,1,2,"acc","Patient",2,2,"BA44",1,541.1,"correct","article",1
"263","1",71,5,1,5,"syntax","subject","5",1,1,1,2,"nom","Agent",2,1,"BA44",1,520.6,"correct","article",1
"265","1",73,45,1,45,"syntax","subject","45",1,1,1,2,"nom","Agent",2,1,"BA44",1,508.7,"correct","article",1
"268","1",76,53,2,52,"syntax","object","52",1,2,1,2,"acc","Agent",2,1,"BA44",1,764.8,"correct","article",1
"271","1",79,4,1,4,"syntax","subject","4",1,1,1,1,"nom","Agent",2,2,"BA44",1,478.5,"correct","article",1
"273","1",81,38,1,38,"syntax","subject","38",1,2,1,1,"nom","Patient",1,1,"BA44",1,864.2,"correct","article",1
"274","1",82,48,2,47,"syntax","object","47",1,2,1,2,"acc","Patient",2,2,"BA44",1,812.4,"correct","article",1
"277","1",85,18,2,17,"syntax","object","17",1,1,1,2,"acc","Patient",1,2,"BA44",1,757,"correct","article",1
"279","1",87,13,1,13,"syntax","subject","13",1,1,1,2,"nom","Agent",2,1,"BA44",1,603.1,"correct","article",1
"282","1",90,3,1,3,"syntax","subject","3",1,2,1,1,"nom","Agent",1,2,"BA44",1,650,"correct","article",1
"284","1",92,51,2,50,"syntax","object","50",1,2,1,1,"acc","Patient",2,1,"BA44",1,509.9,"correct","article",1
"287","1",95,64,1,64,"syntax","subject","64",1,1,1,1,"nom","Agent",2,2,"BA44",1,605.5,"correct","article",1
"289","1",97,13,2,12,"syntax","object","12",1,1,1,1,"acc","Patient",1,1,"BA44",1,855.8,"correct","article",1
"290","1",98,22,1,22,"syntax","subject","22",1,1,1,1,"nom","Agent",2,2,"BA44",1,586.1,"correct","article",1
"293","1",101,50,2,49,"syntax","object","49",1,1,1,2,"acc","Patient",1,2,"BA44",1,895.4,"correct","article",1
"294","1",102,9,1,9,"syntax","subject","9",1,1,1,2,"nom","Agent",2,1,"BA44",1,741.9,"correct","article",1
"296","1",104,63,1,63,"syntax","subject","63",1,2,1,2,"nom","Agent",1,1,"BA44",1,993.9,"correct","article",1
"297","1",105,25,2,24,"syntax","object","24",1,2,1,1,"acc","Patient",2,1,"BA44",1,503.3,"correct","article",1
"299","1",107,7,1,7,"syntax","subject","7",1,2,1,2,"nom","Agent",1,1,"BA44",1,612.3,"correct","article",1
"302","1",110,47,2,46,"syntax","object","46",1,2,1,1,"acc","Patient",2,1,"BA44",1,534.8,"correct","article",1
"303","1",111,14,1,14,"syntax","subject","14",1,2,1,1,"nom","Agent",1,2,"BA44",1,591.8,"correct","article",1
"305","1",113,3,2,2,"syntax","object","2",1,1,1,2,"acc","Patient",1,2,"BA44",1,557.1,"correct","article",1
"308","1",116,66,1,66,"syntax","subject","66",1,1,1,2,"nom","Agent",2,1,"BA44",1,761.9,"correct","article",1
"309","1",117,27,2,26,"syntax","object","26",1,1,1,1,"acc","Patient",1,1,"BA44",1,618.5,"correct","article",1
"312","1",120,8,1,8,"syntax","subject","8",1,1,1,1,"nom","Agent",2,2,"BA44",1,645.5,"correct","article",1
"313","1",121,68,2,67,"syntax","object","67",1,2,1,1,"acc","Patient",2,1,"BA44",1,1099.5,"correct","article",1
"315","1",123,52,1,52,"syntax","subject","52",1,2,1,2,"nom","Patient",1,2,"BA44",1,563,"correct","article",1
"318","1",126,32,1,32,"syntax","subject","32",1,1,1,1,"nom","Agent",2,2,"BA44",1,929.1,"correct","article",1
"319","1",127,26,2,25,"syntax","object","25",1,2,1,2,"acc","Agent",2,1,"BA44",1,519.2,"correct","article",1
"321","1",129,36,2,35,"syntax","object","35",1,1,1,1,"acc","Patient",1,1,"BA44",1,981,"correct","article",1
"324","1",132,34,1,34,"syntax","subject","34",1,2,1,2,"nom","Agent",1,1,"BA44",1,1111.6,"correct","article",1
"326","1",134,18,1,18,"syntax","subject","18",1,2,1,1,"nom","Agent",1,2,"BA44",1,591.8,"correct","article",1
"328","1",136,46,2,45,"syntax","object","45",1,1,1,2,"acc","Patient",1,2,"BA44",1,612.3,"correct","article",1
"329","1",137,37,1,37,"syntax","subject","37",1,1,1,2,"nom","Agent",2,1,"BA44",1,1329.6,"correct","article",1
"331","1",139,43,1,43,"syntax","subject","43",1,2,1,2,"acc","Agent",2,1,"BA44",1,931.7,"incorrect","article",0
"334","1",142,21,2,20,"syntax","object","20",1,2,1,1,"acc","Patient",2,1,"BA44",1,915.5,"correct","article",1
"337","1",145,8,2,7,"syntax","object","7",1,2,1,2,"acc","Patient",2,2,"BA44",1,536.9,"correct","article",1
"338","1",146,15,1,15,"syntax","subject","15",1,2,1,2,"nom","Agent",1,1,"BA44",1,695.8,"correct","article",1
"341","1",149,31,1,31,"syntax","subject","31",1,2,1,2,"nom","Agent",1,1,"BA44",1,771.9,"correct","article",1
"342","1",150,20,2,19,"syntax","object","19",1,1,1,2,"acc","Patient",1,2,"BA44",1,955.5,"correct","article",1
"344","1",152,67,2,66,"syntax","object","66",1,1,1,2,"acc","Patient",1,2,"BA44",1,586.6,"correct","article",1
"345","1",153,10,1,10,"syntax","subject","10",1,2,1,1,"nom","Agent",1,2,"BA44",1,575.5,"correct","article",1
"347","1",155,24,2,23,"syntax","object","23",1,1,1,2,"acc","Agent",1,1,"BA44",1,844.6,"correct","article",1
"350","1",158,28,1,28,"syntax","subject","28",1,2,1,1,"nom","Agent",1,2,"BA44",1,735.3,"correct","article",1
"351","1",159,64,2,63,"syntax","object","63",1,2,1,2,"nom","Agent",1,1,"BA44",1,648.3,"incorrect","article",0
"353","1",161,49,2,48,"syntax","object","48",1,1,1,1,"acc","Agent",1,2,"BA44",1,509.5,"correct","article",1
"354","1",162,17,1,17,"syntax","subject","17",1,1,1,2,"nom","Agent",2,1,"BA44",1,1026.5,"correct","article",1
"356","1",164,12,1,12,"syntax","subject","12",1,1,1,1,"nom","Agent",2,2,"BA44",1,546.9,"correct","article",1
"357","1",165,39,2,38,"syntax","object","38",1,2,1,1,"acc","Patient",2,1,"BA44",1,636.5,"correct","article",1
"359","1",167,61,1,61,"syntax","subject","61",1,2,1,1,"nom","Agent",1,2,"BA44",1,741.2,"correct","article",1
"361","1",169,10,2,9,"syntax","object","9",1,1,1,2,"acc","Patient",1,2,"BA44",1,536.6,"correct","article",1
"362","1",170,60,1,60,"syntax","subject","60",1,2,1,2,"nom","Agent",1,1,"BA44",1,549,"correct","article",1
"365","1",173,17,2,16,"syntax","object","16",1,1,1,1,"acc","Patient",1,1,"BA44",1,927.6,"correct","article",1
"367","1",175,23,2,22,"syntax","object","22",1,1,1,1,"acc","Patient",1,1,"BA44",1,524.5,"correct","article",1
"369","1",177,5,2,4,"syntax","object","4",1,1,1,1,"acc","Patient",1,1,"BA44",1,523,"correct","article",1
"371","1",179,35,2,34,"syntax","object","34",1,2,1,2,"acc","Patient",2,2,"BA44",1,820.2,"correct","article",1
"374","1",182,2,2,1,"syntax","object","1",1,1,1,1,"acc","Patient",1,1,"BA44",1,773.3,"correct","article",1
"376","1",184,38,2,37,"syntax","object","37",1,1,1,2,"acc","Patient",1,2,"BA44",1,713.8,"correct","article",1
"377","1",185,20,1,20,"syntax","subject","20",1,2,1,1,"nom","Agent",1,2,"BA44",1,556.5,"correct","article",1
"379","1",187,6,2,5,"syntax","object","5",1,1,1,2,"acc","Patient",1,2,"BA44",1,662.3,"correct","article",1
"382","1",190,46,1,46,"syntax","subject","46",1,2,1,1,"nom","Agent",1,2,"BA44",1,1323.9,"correct","article",1
"386","1",2,49,2,48,"syntax","object","48",1,2,1,1,"acc","Patient",2,1,"BA45",2,NA,"correct","article",1
"388","1",4,38,1,38,"syntax","subject","38",1,1,1,1,"nom","Agent",2,2,"BA45",2,463,"correct","article",1
"390","1",6,13,1,13,"syntax","subject","13",1,2,1,2,"nom","Agent",1,1,"BA45",2,651.3,"correct","article",1
"392","1",8,20,2,19,"syntax","object","19",1,2,1,2,"acc","Patient",2,2,"BA45",2,485,"correct","article",1
"393","1",9,43,1,43,"syntax","subject","43",1,1,1,2,"nom","Agent",2,1,"BA45",2,513.5,"correct","article",1
"395","1",11,61,2,60,"syntax","object","60",1,1,1,2,"acc","Patient",1,2,"BA45",2,741.6,"correct","article",1
"397","1",13,4,1,4,"syntax","subject","4",1,2,1,1,"nom","Agent",1,2,"BA45",2,724.3,"correct","article",1
"399","1",15,44,1,44,"syntax","subject","44",1,2,1,1,"nom","Agent",1,2,"BA45",2,608.3,"correct","article",1
"400","1",16,46,2,45,"syntax","object","45",1,2,1,2,"acc","Agent",2,1,"BA45",2,478.2,"correct","article",1
"402","1",18,17,1,17,"syntax","subject","17",1,2,1,2,"nom","Agent",1,1,"BA45",2,549.9,"correct","article",1
"404","1",20,17,2,16,"syntax","object","16",1,2,1,1,"acc","Patient",2,1,"BA45",2,494,"correct","article",1
"405","1",21,35,1,35,"syntax","subject","35",1,2,1,1,"nom","Agent",1,2,"BA45",2,686.1,"correct","article",1
"407","1",23,63,1,63,"syntax","subject","63",1,1,1,2,"nom","Agent",2,1,"BA45",2,671.2,"correct","article",1
"410","1",26,33,2,32,"syntax","object","32",1,2,1,1,"acc","Patient",2,1,"BA45",2,520.8,"correct","article",1
"413","1",29,12,2,11,"syntax","object","11",1,1,1,2,"acc","Patient",1,2,"BA45",2,802.4,"correct","article",1
"416","1",32,11,2,10,"syntax","object","10",1,1,1,1,"acc","Patient",1,1,"BA45",2,557.4,"correct","article",1
"417","1",33,46,1,46,"syntax","subject","46",1,1,1,1,"nom","Agent",2,2,"BA45",2,757,"correct","article",1
"419","1",35,25,1,25,"syntax","subject","25",1,1,1,2,"nom","Agent",2,1,"BA45",2,1170.9,"correct","article",1
"420","1",36,51,2,50,"syntax","object","50",1,1,1,1,"acc","Patient",1,1,"BA45",2,565.7,"correct","article",1
"422","1",38,24,2,23,"syntax","object","23",1,2,1,2,"acc","Agent",2,1,"BA45",2,579.8,"correct","article",1
"424","1",40,12,1,12,"syntax","subject","12",1,2,1,1,"nom","Patient",1,1,"BA45",2,548.6,"correct","article",1
"427","1",43,6,2,5,"syntax","object","5",1,2,1,2,"acc","Patient",2,2,"BA45",2,975.9,"correct","article",1
"428","1",44,28,1,28,"syntax","subject","28",1,1,1,1,"nom","Agent",2,2,"BA45",2,540.2,"correct","article",1
"430","1",46,68,2,67,"syntax","object","67",1,1,1,1,"acc","Patient",1,1,"BA45",2,562.9,"correct","article",1
"432","1",48,52,1,52,"syntax","subject","52",1,1,1,2,"nom","Patient",2,2,"BA45",2,544,"correct","article",1
"433","1",49,26,2,25,"syntax","object","25",1,1,1,2,"acc","Patient",1,2,"BA45",2,527.6,"correct","article",1
"435","1",51,27,2,26,"syntax","object","26",1,2,1,1,"acc","Patient",2,1,"BA45",2,513.2,"correct","article",1
"436","1",52,50,1,50,"syntax","subject","50",1,1,1,1,"nom","Agent",2,2,"BA45",2,468,"correct","article",1
"438","1",54,53,2,52,"syntax","object","52",1,1,1,2,"acc","Agent",1,1,"BA45",2,561.8,"correct","article",1
"440","1",56,2,1,2,"syntax","subject","2",1,2,1,2,"nom","Agent",1,1,"BA45",2,555.1,"correct","article",1
"441","1",57,29,2,28,"syntax","object","28",1,1,1,1,"acc","Patient",1,1,"BA45",2,472.7,"correct","article",1
"444","1",60,22,1,22,"syntax","subject","22",1,2,1,1,"nom","Agent",1,2,"BA45",2,625.7,"correct","article",1
"446","1",62,22,2,21,"syntax","object","21",1,1,1,2,"acc","Patient",1,2,"BA45",2,629.8,"correct","article",1
